MD7047d_lo0025,_lo0028,_lo0033,_lo0034,_lo0035,_lo0036,_lo0037,_lo0038,_lo0039,_lo0040,_lo0041,_lo0042,_lo0045,_lo0047,_lo0048,_lo0049,_lo0050,_lo0054,_lo0055,_lo0056,_lo0057,_lo0058,_lo0059,_lo0061,_lo0062,_lo0116,_lo0117,_lo0118,_lo0119,_lo0120,_lo0121,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0134,_lo0135,_lo0136,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0146,_lo0147,_lo0148,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0154,_lo0155,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.000305901,0.000452547,0.000385754,0.461470716,0.000342891,0.000461941,0.00042699,0.000464552,0.000347149,0.000414369,0.000454098,0.000405349,0.000331907,0.000460626,0.000319366,0.000420784,0.509132879,0.774937794,0.767459364,0.674543606,0.497309629,0.664934447,0.000757081,0.706501433,0.60278934,0.000544728,0.696120488,0.796383789,0.757097026,0.641148435,0.70947817,0.000320868,0.000320052,0.000397883,0.000383266,0.000504065,0.013260936,0.009164633,0.019580293,0.000392494,0.000314954,0.000485652,0.000425937,0.000514568,0.000363113,0.000563392,0.000525244,0.00044744,0.000483709,0.00026373,0.000426385,0.000246753,0.000412353,0.000509477,0.000439408,0.000642675,0.000565423,0.000378336,0.000392734,0.000394558,Cl.15,3836
0.000273315,0.000441058,0.0003521,0.00041626,0.000367641,0.000264497,0.000348019,0.000249361,0.000307911,0.00042263,0.000321417,0.000280747,0.000310921,0.000345257,0.000391258,0.000422707,0.000204209,0.000335372,0.00031796,0.41659395,0.00029553,0.000388568,0.000306357,0.000191998,0.53866428,0.000331849,0.000358081,0.26661208,0.000404946,0.00041257,0.000319892,0.000315826,0.000261433,0.000356891,0.000403992,0.000293131,0.000424472,0.000331075,0.000348511,0.000357145,0.000312096,0.000323049,0.000294659,0.000381497,0.000326014,0.000409089,0.00037723,0.00045612,0.000405839,0.00050411,0.000338624,0.000394177,0.000394268,0.000319084,0.00028815,0.000343314,0.000329173,0.000210854,0.000270247,0.000414003,Cl.16,9807
0.00042877,0.000432503,0.000460374,0.000498436,0.00054593,0.000417692,0.000357206,0.000518528,0.000311537,0.0004143,0.000473167,0.000440134,0.000531926,0.000539405,0.000389083,0.000350165,0.509233778,0.732773631,0.002752801,0.000378644,0.468058881,0.663940147,0.001113438,0.000422763,0.000552306,0.000480311,0.000498512,0.000387637,0.000346865,0.531906177,0.000597875,0.000663036,0.000691412,0.000265194,0.000633005,0.000513566,0.0005231,0.00053189,0.00043245,0.000515907,0.000370982,0.000482407,0.000502281,0.00062455,0.00043354,0.000369766,0.000452366,0.000548496,0.000614313,0.00062145,0.000474614,0.000494349,0.000491155,0.00054887,0.000522042,0.000505754,0.000414631,0.000425313,0.000466358,0.000614277,Cl.17,3003
0.00021677,0.000316474,0.000310602,0.00030339,0.000433021,0.000284804,0.000356568,0.000172746,0.000317866,0.000351997,0.000272583,0.000283024,0.000294158,0.000341407,0.000231948,0.000312323,0.0002784,0.000287657,0.000354328,0.000350541,0.00033344,0.000204188,0.000284595,0.000241634,0.000276007,0.000316378,0.000286049,0.000317884,0.000374983,0.000271985,0.000308717,0.000262174,0.000278443,0.000230526,0.000377609,0.000390023,0.00036638,0.000277019,0.000245321,0.000352158,0.000379173,0.000263188,0.000276142,0.000448554,0.000361858,0.000478997,0.397676062,0.000370797,0.000417236,0.00035629,0.000291648,0.000281418,0.000503233,0.0004094,0.000272773,0.000255408,0.000326315,0.000189021,0.000252913,0.000294969,Cl.18,8740
0.000269535,0.00029093,0.000257814,0.00032609,0.000357539,0.392370193,0.000329352,0.000226631,0.000313963,0.000295711,0.000293129,0.000268119,0.000279895,0.000346052,0.000291731,0.000241877,0.000211377,0.000345048,0.000343922,0.000282896,0.000283165,0.000229437,0.000280499,0.000335058,0.000292077,0.000318206,0.000253227,0.000209836,0.000289038,0.000303127,0.000239109,0.000330217,0.000404506,0.000278725,0.000343413,0.000351907,0.000332511,0.000277017,0.000310508,0.000285851,0.000293551,0.000298681,0.000365304,0.00033939,0.000331706,0.000363228,0.000333309,0.000389192,0.000427556,0.000336879,0.000297342,0.000366792,0.000396521,0.000371593,0.000255417,0.000353112,0.000375985,0.000244354,0.000206425,0.000295458,Cl.19,18472
0.000187632,0.000344411,0.000331167,0.000370068,0.000313597,0.000311585,0.000356041,0.000330962,0.000274382,0.000317739,0.000248519,0.000293721,0.000307778,0.00030681,0.000319493,0.000269865,0.000299047,0.000316236,0.000294945,0.000284627,0.0003049,0.000238232,0.000222246,0.000274668,0.00030429,0.000230197,0.000221014,0.000236697,0.000279652,0.000341299,0.000264942,0.00036507,0.000358371,0.000286621,0.000298225,0.000795665,0.246436017,0.002109612,0.00033888,0.000279136,0.000248983,0.000258014,0.000286383,0.00038295,0.000485058,0.000346461,0.000356148,0.000360464,0.000428505,0.000357067,0.00028912,0.180559563,0.098338986,0.001666573,0.000323615,0.000273301,0.000338472,0.000268412,0.000265967,0.000276291,Cl.22,11494
0.000269605,0.000355587,0.00034114,0.00032981,0.475486801,0.0003702,0.000309145,0.000271931,0.00032104,0.000316591,0.000309311,0.000299121,0.000257599,0.000332955,0.000283628,0.000226225,0.000324945,0.000284105,0.000379819,0.000261402,0.00028881,0.000181806,0.00026961,0.00025853,0.000333122,0.000321461,0.000366102,0.000265635,0.000354767,0.000321497,0.000323348,0.000420421,0.000315233,0.000221293,0.000334308,0.000367481,0.00030774,0.00032548,0.000292482,0.000291643,0.000285644,0.00031631,0.000290394,0.000467735,0.000334195,0.000504919,0.000323965,0.000340077,0.000437601,0.000469304,0.000346659,0.000267659,0.000348894,0.000449404,0.000259343,0.000313782,0.000343875,0.00036072,0.000236499,0.000329228,Cl.23,11706
0.000576332,0.000398615,0.000501124,0.000565973,0.000357104,0.000430714,0.526301503,0.000462887,0.000474995,0.000381773,0.018022783,0.041907359,0.000579975,0.374465256,0.789027219,0.000381081,0.000280451,0.000607673,0.000427853,0.000340786,0.000390992,0.000474168,0.000295024,0.000394856,0.000575403,0.000415141,0.000396675,0.00025194,0.000415692,0.000398234,0.000400395,0.000586626,0.0004069,0.000542076,0.000472384,0.000749547,0.000401687,0.000415946,0.000451685,0.000508968,0.00037399,0.000557957,0.000477917,0.0007557,0.000413883,0.000593793,0.000478498,0.000441147,0.000600729,0.000463031,0.000421207,0.000390238,0.000416179,0.000541757,0.000484649,0.000391925,0.000402464,0.000514205,0.000362037,0.000572796,Cl.24,3381
0.287577598,0.009176579,0.000516413,0.000361667,0.000378433,0.00037329,0.577546092,0.000316927,0.000532648,0.000423441,0.438360562,0.347517644,0.000581555,0.38353833,0.781133206,0.255735771,0.000384453,0.000362562,0.000510115,0.000519225,0.000314534,0.000382752,0.000275428,0.000474017,0.000351092,0.000411982,0.000424176,0.000439489,0.000475638,0.000414395,0.000365244,0.000425475,0.000351586,0.000370555,0.000362642,0.000598686,0.000508577,0.000410718,0.00032755,0.00039952,0.000335095,0.000304174,0.000297847,0.000581782,0.000416614,0.000420748,0.000450961,0.000418622,0.000536507,0.000542534,0.000424225,0.000269211,0.000529718,0.000298087,0.000415466,0.000515915,0.000382659,0.000584284,0.000469325,0.000323846,Cl.26,5048
0.001578297,0.666274515,0.001503831,0.001816848,0.578112405,0.001383517,0.001390611,0.001574918,0.001700662,0.001553038,0.001473635,0.001329492,0.001483038,0.001508022,0.002116077,0.001764269,0.001423067,0.001738515,0.001370793,0.001951657,0.001752503,0.001659671,0.001353014,0.001986302,0.001577059,0.001436091,0.001338144,0.001437007,0.002549579,0.001386245,0.001973952,0.001496923,0.001884241,0.001581859,0.001192073,0.00188073,0.001685638,0.001856661,0.001311432,0.001564817,0.001448563,0.001395516,0.001559003,0.002186891,0.001492824,0.001921533,0.001742235,0.002028486,0.001685089,0.001317225,0.001755904,0.001316926,0.0014771,0.001173235,0.001436039,0.001587297,0.001208919,0.002084836,0.001408276,0.002018446,Cl.29,433
