"SBS5" "SBS18" "SBS11" "SBS32" "SBS36" "N2"
"MD7047_Right_lobe_Cl.30" 0.257599049772733 0.00280650579421949 0.0295144520499899 0.182097213094928 0.00321730885540183 0.524765470432727
"MD7047_Right_lobe_Cl.31" 0.176370736036005 0.0797388330342061 0.0979630583059871 0.202560146274854 0.0795232940626126 0.363843932286335
"MD7047_Right_lobe_Cl.32" 0.195753971363038 0.15575018541247 0.142691134783632 0.144779678490225 0.176930426858357 0.184094603092278
"MD7047_Right_lobe_Cl.33" 0.24090685467683 0.158709753158656 0.143988414713203 0.149719654822231 0.157054552732875 0.149620769896205
"MD7047_Right_lobe_Cl.34" 0.109914827293263 0.0133888535598967 0.0670885622592692 0.177996986101205 0.03317211121093 0.598438659575436
"MD7047_Right_lobe_Cl.37" 0.226123130912202 0.143790166466398 0.167384294909057 0.189411634966063 0.141006197466314 0.132284575279966
"MD7047_Right_lobe_Cl.38" 0.143813718214773 0.215178019590607 0.135073843400773 0.142715069928085 0.237785530505278 0.125433818360484
"MD7047_Right_lobe_Cl.39" 0.487102036491582 0.237918001150467 0.0105053143332853 0.0183567990597195 0.0209353672246074 0.22518248174034
"MD7047_Right_lobe_Cl.4" 0.1491825489538 0.221712074367285 0.143365635087876 0.145713154393476 0.19010062142843 0.149925965769134
"MD7047_Right_lobe_Cl.40" 0.134615455218065 0.00366815878135236 0.0944652173914882 0.219978875343612 0.00409692789745522 0.543175365368028
"MD7047_Right_lobe_Cl.41" 0.555814367713074 0.144019568813458 0.0949016859352113 0.0941624395937913 0.0700994218603905 0.0410025160840752
"MD7047_Right_lobe_Cl.42" 0.115812926193471 0.00239451083763735 0.0842035058171257 0.227332404657667 0.0328365591757956 0.537420093318304
"MD7047_Right_lobe_Cl.44" 0.176226827191468 0.151314896108844 0.187862344505736 0.203921897278253 0.121884307104908 0.158789727810792
"MD7047_Right_lobe_Cl.46" 0.111003134466849 0.230645052064058 0.13298731085439 0.136076863265347 0.274652842340342 0.114634797009014
"MD7047_Right_lobe_Cl.47" 0.238282897619797 0.152041657715293 0.175095777494595 0.161297771946476 0.124256220203157 0.149025675020682
"MD7047_Right_lobe_Cl.48" 0.159768412405872 0.148967652894849 0.207462009754024 0.192097723599389 0.145927675935851 0.145776525410015
"MD7047_Right_lobe_Cl.49" 0.21229532521623 0.189308283831304 0.12718965467167 0.142481014930667 0.143427536148783 0.185298185201346
"MD7047_Right_lobe_Cl.5" 0.22668597387785 0.00255815120584143 0.0615469789149596 0.169892427876028 0.0031126352401231 0.536203832885198
"MD7047_Right_lobe_Cl.50" 0.23533702116267 0.155961800228292 0.12778253078911 0.158668570005854 0.137991903513362 0.184258174300712
"MD7047_Right_lobe_Cl.52" 0.155587439749774 0.129792077459544 0.206305105843692 0.202188151755358 0.123368683133283 0.182758542058349
"MD7047_Right_lobe_Cl.53" 0.170316365826974 0.150767802284392 0.163719437499313 0.215429029984682 0.149738867737658 0.150028496666981
"MD7047_Right_lobe_Cl.54" 0.242651839662212 0.126023779446415 0.103131088337938 0.123227706898027 0.122444402394436 0.282521183260972
"MD7047_Right_lobe_Cl.55" 0.267898016509011 0.142458395173232 0.140847989814466 0.159258677346168 0.150114643253407 0.139422277903717
"MD7047_Right_lobe_Cl.56" 0.548234065301131 0.298464882287088 0.0179694706565584 0.0403947754333003 0.0258579891107575 0.0690788172111645
"MD7047_Right_lobe_Cl.57" 0.164555734237303 0.170259785567675 0.143468187098542 0.146714007651583 0.152845455171169 0.222156830273729
"MD7047_Right_lobe_Cl.58" 0.155252647674793 0.170533177390004 0.126276126782805 0.134217386976313 0.183689623923926 0.230031037252159
"MD7047_Right_lobe_Cl.61" 0.176901351639248 0.161552998339161 0.178900959928672 0.184210131546016 0.150149030827822 0.148285527719081
"MD7047_Right_lobe_Cl.62" 0.332649675774015 0.126168265542878 0.0800763665892028 0.101360779588054 0.0792077408272656 0.280537171678584
"MD7047_Right_lobe_Cl.63" 0.150551582832279 0.187740031859366 0.143885485767669 0.145785560543253 0.218163875445473 0.153873463551959
"MD7047_Right_lobe_Cl.65" 0.299715029891483 0.152019802875577 0.117150767181231 0.144677026084801 0.146306512191206 0.140130861775702
"MD7047_Right_lobe_Cl.68" 0.154886016856487 0.192667554756579 0.142883605745239 0.163496372521251 0.168969147835419 0.177097302285025
"MD7047_Right_lobe_Cl.7" 0.204519897450408 0.155212928530995 0.143473746395575 0.150195664572086 0.151066537958093 0.195531225092843
"MD7047_Right_lobe_Cl.70" 0.178575503243867 0.161626414481392 0.179172687087171 0.184580007106799 0.14891684367722 0.14712854440355
"MD7047_Right_lobe_Cl.71" 0.157608656559581 0.155861047695217 0.143627430297493 0.148181033551701 0.147637913341728 0.24708391855428
"MD7047_Right_lobe_Cl.73" 0.156187592021965 0.148142831667992 0.232232336010021 0.165260359150183 0.146504759678317 0.151672121471523
"MD7047_Right_lobe_Cl.74" 0.17905849620561 0.154599975877752 0.111252160594987 0.125445407018148 0.134159079646303 0.295484880657199
"MD7047_Right_lobe_Cl.76" 0.439328013956272 0.42404543567888 0.0126662006260902 0.0311653851057485 0.0443050236946271 0.0484899409383815
"MD7047_Right_lobe_Cl.77" 0.194390384733762 0.1564509298583 0.143959232125742 0.145140174931656 0.174978143660911 0.185081134689628
"MD7047_Right_lobe_Cl.78" 0.157553324665941 0.157329486496247 0.144352120354188 0.147342288546789 0.144662434046492 0.248760345890343
"MD7047_Right_lobe_Cl.8" 0.147754761149862 0.00341434583492063 0.0739730652262545 0.215132769150892 0.00619939934985145 0.55352565928822
"MD7047_Right_lobe_Cl.81" 0.247474326683435 0.137903869870124 0.158768870257167 0.166638826684971 0.137851059926408 0.151363046577894
"MD7047_Right_lobe_Cl.82" 0.166881634665334 0.167904854501663 0.143537248163279 0.196678862193679 0.168535042386281 0.156462358089764
"MD7047_Right_lobe_Cl.84" 0.630067467682016 0.152829790877354 0.0207332026519068 0.0226847759092661 0.0899310614746725 0.0837537014047841
"MD7047_Right_lobe_Cl.85" 0.197474056593116 0.135124027449691 0.127571052994523 0.131449144891896 0.13395559893378 0.274426119136994
"MD7047_Right_lobe_Cl.86" 0.185279232253814 0.154733628497013 0.14664674779489 0.185193708109204 0.150080860241393 0.178065823103686
"MD7047_Right_lobe_Cl.88" 0.19105742227113 0.161256478809997 0.185693861663744 0.182737730551431 0.138948667804514 0.140305838899183
"MD7047_Right_lobe_Cl.89" 0.235409737165971 0.162594687804101 0.129150848682296 0.188848227404264 0.142945034087102 0.141051464856267
"MD7047_Right_lobe_Cl.9" 0.0992637268711286 0.00621436341017114 0.0892632935227582 0.219326584792351 0.0068239917668271 0.579108039636764
"MD7047_Right_lobe_Cl.91" 0.27241810731168 0.143039182354756 0.102624201782391 0.107225377440749 0.166398229132639 0.208294901977785
"MD7047_Right_lobe_Cl.92" 0.253025248237838 0.149690650593447 0.143763421905163 0.147066978643825 0.154613395014173 0.151840305605553
"MD7047_Right_lobe_Cl.93" 0.13424846103537 0.176138966648562 0.110840514672683 0.105036386256752 0.144996931227254 0.328738740159379
"MD7047_Right_lobe_Cl.94" 0.24821947564286 0.152334763461126 0.143699514957875 0.152142254217618 0.15209614267282 0.151507849047701
