MD7047d_lo0003,_lo0004,_lo0015,_lo0016,_lo0033,_lo0034,_lo0065,_lo0066,_lo0070,_lo0071,_lo0074,_lo0078,_lo0079,_lo0080,_lo0087,_lo0088,_lo0089,_lo0091,_lo0093,_lo0095,_lo0096,_lo0101,_lo0102,_lo0105,_lo0106,_lo0109,_lo0110,_lo0112,_lo0113,_lo0114,_lo0123,_lo0124,_lo0125,_lo0126,_lo0127,_lo0128,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0142,_lo0143,_lo0144,_lo0145,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.000276988,0.000242554,0.000337785,0.000361012,0.000289616,0.000349164,0.000270126,0.000189821,0.000287184,0.0003129,0.000244148,0.000279908,0.000311082,0.000285381,0.000260186,0.00030331,0.000210656,0.000215064,0.000213106,0.00025725,0.0002877,0.000202643,0.000247401,0.000187381,0.000271119,0.000342856,0.000275215,0.000320593,0.000204677,0.000334463,0.000270841,0.000300062,0.000218595,0.000240985,0.000259011,0.000328833,0.000274111,0.000455252,0.000263219,0.000323494,0.000280405,0.000316225,0.000242735,0.000250322,0.00023724,0.000371089,0.001100686,0.346733351,0.000294044,0.000223986,0.000292383,0.000393161,0.000307201,0.000257153,0.000329802,0.000235709,0.000242687,0.000411662,0.000417708,0.000259156,0.000281376,Cl.16,14745
0.638009026,0.820378653,0.077194683,0.866733053,0.000483637,0.000444537,0.000391313,0.035149473,0.000479033,0.000565325,0.000403442,0.000515173,0.000454933,0.000411231,0.060340231,0.666119139,0.004711359,0.102785826,0.02923961,0.000283867,0.00054212,0.427926655,0.042711168,0.000421372,0.000295256,0.000531374,0.000724178,0.000787067,0.000387024,0.000389086,0.000337083,0.000528299,0.000415203,0.000385208,0.000305679,0.104563705,0.00039019,0.00061376,0.000284566,0.000375554,0.000559817,0.000547805,0.000445503,0.000551758,0.000466285,0.000468695,0.000635408,0.000399444,0.000504432,0.000481454,0.000538522,0.000554827,0.000595107,0.000545636,0.000690819,0.000353375,0.000563857,0.000578627,0.000308532,0.00039131,0.000654636,Cl.18,2610
0.001715379,0.002097473,0.001201353,0.001697595,0.001701495,0.001329032,0.279062511,0.198086097,0.169298316,0.252547178,0.001400472,0.001598454,0.001339375,0.001258235,0.002258337,0.001851944,0.001772259,0.001501271,0.077444067,0.00192444,0.001638684,0.001945874,0.001550634,0.045185896,0.023506785,0.001925931,0.037168799,0.076578373,0.001801943,0.001741253,0.039994791,0.031772501,0.001562344,0.012471014,0.007568558,0.001456628,0.00159848,0.001751947,0.001434325,0.001515634,0.001388714,0.001403182,0.001263722,0.002199145,0.001569805,0.001236824,0.001728808,0.001336281,0.015852592,0.001465178,0.001830989,0.002005123,0.001553953,0.001546977,0.001781939,0.001916903,0.002543642,0.001403646,0.001314344,0.001786032,0.001857807,Cl.20,258
0.640404646,0.819135738,0.881301047,0.869146025,0.000518844,0.000577098,0.000641544,0.427252004,0.000473683,0.000504555,0.661241769,0.331077525,0.008334103,0.000498276,0.396447002,0.952792025,0.041480071,0.786997857,0.486125215,0.896153817,0.900800032,0.95923239,0.616063767,0.000481517,0.000523952,0.601746298,0.000499001,0.000817265,0.8838114,0.915890625,0.000384708,0.000467676,0.000472733,0.000406776,0.618001227,0.6008857,0.000474142,0.000621262,0.000603247,0.000605887,0.000513538,0.000632103,0.000501707,0.000525005,0.000602717,0.000454541,0.000389177,0.00042563,0.000548563,0.000547933,0.000865761,0.000495378,0.001101492,0.000487919,0.000299297,0.000213592,0.00055712,0.000662988,0.000756299,0.000495211,0.000564765,Cl.21,2298
0.000219791,0.000314572,0.000311089,0.000327254,0.000285472,0.00028881,0.000148044,0.000182194,0.000266769,0.000281504,0.000167856,0.00027506,0.312979872,0.000267182,0.000270774,0.000284486,0.000318389,0.000379699,0.000214674,0.00038626,0.000220971,0.000251063,0.000305436,0.00023912,0.000335002,0.000285002,0.000367104,0.000267957,0.00024846,0.000336899,0.000278157,0.000397548,0.000288339,0.00024699,0.000185819,0.000300608,0.000279591,0.000373922,0.00030087,0.000245151,0.000431833,0.000347409,0.000288905,0.000408048,0.000459484,0.000231675,0.000289719,0.000316562,0.000376768,0.0001921,0.000391629,0.000404135,0.000297821,0.000267042,0.000134265,0.000557841,0.000360386,0.000334044,0.000279159,0.000305976,0.000418916,Cl.23,8744
0.000552466,0.000602835,0.418477711,0.000607232,0.000542019,0.000858764,0.000557728,0.394551943,0.000653679,0.000597993,0.000587938,0.000564558,0.000422919,0.000337658,0.325167728,0.268233748,0.033861554,0.685683798,0.441677708,0.000690834,0.000640531,0.514004612,0.551582461,0.00045742,0.000727088,0.00054228,0.000535095,0.000488658,0.000587554,0.000556519,0.000552174,0.000453312,0.000468073,0.000502935,0.000328867,0.498060549,0.000780461,0.00050733,0.000947863,0.000774744,0.000538547,0.000738914,0.000490595,0.00064371,0.000615646,0.000567177,0.000714729,0.000801832,0.000516584,0.000623159,0.000771386,0.000798853,0.000632212,0.000489967,0.000564064,0.000675456,0.000886482,0.000660782,0.000487533,0.000658594,0.000772207,Cl.25,1844
0.000415041,0.000357824,0.000264142,0.000448298,0.000354867,0.000361636,0.720451442,0.450351808,0.75121942,0.822553387,0.000255555,0.000385068,0.000365961,0.000398466,0.000377134,0.000526229,0.000353694,0.000459858,0.149727179,0.000431782,0.000413824,0.000350297,0.000299278,0.792316254,0.379794261,0.003602627,0.726077137,0.863082915,0.000287632,0.000392707,0.760904202,0.513044458,0.000360878,0.185426143,0.083269165,0.000426241,0.000376766,0.000309856,0.000599702,0.00053341,0.000284801,0.000357091,0.000441461,0.000572118,0.000408944,0.000500763,0.000347583,0.000421934,0.346869329,0.000507964,0.00043538,0.000517164,0.000576126,0.000418545,0.000638763,0.000662025,0.000368894,0.000425104,0.000470417,0.000617713,0.000442582,Cl.30,4636
0.003926167,0.00431161,0.005234347,0.003192307,0.004221695,0.003123581,0.002931127,0.004395736,0.004490246,0.00345261,0.346947534,0.029866008,0.00376991,0.004086186,0.003015522,0.004450175,0.004607792,0.003855185,0.00364873,0.601440883,0.903001141,0.003585272,0.00346331,0.003670877,0.00343952,0.041549062,0.003003641,0.003718045,0.862938783,0.83592226,0.003577045,0.004677469,0.003906348,0.003860388,0.049247396,0.003845067,0.004210626,0.003513309,0.00353658,0.004209716,0.004144353,0.003892487,0.002676159,0.004178909,0.003583469,0.003300279,0.00519945,0.002679969,0.003813016,0.005775488,0.003950643,0.003942333,0.003048664,0.004114256,0.007290228,0.004769652,0.003983355,0.004127234,0.003074381,0.005096238,0.002993067,Cl.31,160
0.000887723,0.000811023,0.001214018,0.000859016,0.000732395,0.001007117,0.00139309,0.001122003,0.361762096,0.041625727,0.000807125,0.000911221,0.000692181,0.000896482,0.000798468,0.000904243,0.000542773,0.000938386,0.000725592,0.000966955,0.000903747,0.001354821,0.000717894,0.00074771,0.000911106,0.000589824,0.000860133,0.000998213,0.001102567,0.000779794,0.000614695,0.000694844,0.000757244,0.00091397,0.000923797,0.000859864,0.000890713,0.000746075,0.000742333,0.000506429,0.000780669,0.000750332,0.000789312,0.000845255,0.000616676,0.000794873,0.000971177,0.000707491,0.001234756,0.000851096,0.000840102,0.000671984,0.000838357,0.000847306,0.000786815,0.000848564,0.000968906,0.000876405,0.00085146,0.000975697,0.00072907,Cl.34,835
0.001021322,0.001034873,0.001184196,0.000886052,0.000631709,0.000793379,0.00086654,0.001152791,0.000862746,0.001044078,0.001070382,0.000872424,0.001336167,0.000879599,0.001727098,0.001229685,0.057358624,0.002371798,0.000989065,0.001143321,0.000859942,0.001110593,0.001013108,0.252072682,0.064306147,0.000927925,0.001006678,0.001281983,0.00147145,0.001330257,0.249472673,0.071770469,0.000886812,0.019497457,0.010541471,0.000917341,0.000875919,0.001096978,0.001259527,0.000895555,0.001210493,0.001062475,0.001124981,0.000957817,0.000808625,0.001090563,0.000840446,0.000775894,0.000932355,0.001438081,0.001189668,0.001034551,0.001030625,0.00084547,0.001278833,0.001037827,0.00141976,0.00091687,0.000930071,0.001161483,0.001058959,Cl.39,598
