Reference	Disease	Cluster	Gene
Montoro et al	Epithelial	Ciliated	Morn5
Montoro et al	Epithelial	Ciliated	Iqcg
Montoro et al	Epithelial	Ciliated	Eno4
Montoro et al	Epithelial	Ciliated	Ift74
Montoro et al	Epithelial	Ciliated	Lrrc34
Montoro et al	Epithelial	Ciliated	Cetn4
Montoro et al	Epithelial	Ciliated	Ankrd66
Montoro et al	Epithelial	Ciliated	Dnajc15
Montoro et al	Epithelial	Ciliated	Ulk4
Montoro et al	Epithelial	Ciliated	Tbata
Montoro et al	Epithelial	Ciliated	Traf3ip1
Montoro et al	Epithelial	Ciliated	Akr1b8
Montoro et al	Epithelial	Ciliated	6430531B16Rik
Montoro et al	Epithelial	Ciliated	Armc4
Montoro et al	Epithelial	Ciliated	Maats1
Montoro et al	Epithelial	Ciliated	Plekhb1
Montoro et al	Epithelial	Ciliated	Meig1
Montoro et al	Epithelial	Ciliated	Morn3
Montoro et al	Epithelial	Ciliated	Lrrc71
Montoro et al	Epithelial	Ciliated	1110004E09Rik
Montoro et al	Epithelial	Ciliated	Ift88
Montoro et al	Epithelial	Ciliated	Timp4
Montoro et al	Epithelial	Ciliated	Fam166b
Montoro et al	Epithelial	Ciliated	Ccdc121
Montoro et al	Epithelial	Ciliated	Usp18
Montoro et al	Epithelial	Ciliated	Ccdc33
Montoro et al	Epithelial	Ciliated	Slc23a1
Montoro et al	Epithelial	Ciliated	Gm166
Montoro et al	Epithelial	Ciliated	1810037I17Rik
Montoro et al	Epithelial	Ciliated	Syt5
Montoro et al	Epithelial	Ciliated	Dnaaf1
Montoro et al	Epithelial	Ciliated	Mns1
Montoro et al	Epithelial	Ciliated	Dusp14
Montoro et al	Epithelial	Ciliated	Wdr78
Montoro et al	Epithelial	Ciliated	Dynll1
Montoro et al	Epithelial	Ciliated	Gas8
Montoro et al	Epithelial	Ciliated	Ccdc114
Montoro et al	Epithelial	Ciliated	Crip2
Montoro et al	Epithelial	Ciliated	Ctxn1
Montoro et al	Epithelial	Ciliated	1700040L02Rik
Montoro et al	Epithelial	Ciliated	Tcp11
Montoro et al	Epithelial	Ciliated	Kif19a
Montoro et al	Epithelial	Ciliated	Ccdc65
Montoro et al	Epithelial	Ciliated	Tmem107
Montoro et al	Epithelial	Ciliated	Adgb
Montoro et al	Epithelial	Ciliated	Cib1
Montoro et al	Epithelial	Ciliated	Dnaic1
Montoro et al	Epithelial	Ciliated	Odc1
Montoro et al	Epithelial	Ciliated	Dnaaf3
Montoro et al	Epithelial	Ciliated	Cdkl4
Montoro et al	Epithelial	Ciliated	Mrps17
Montoro et al	Epithelial	Ciliated	Wdr34
Montoro et al	Epithelial	Ciliated	Slc9a3r1
Montoro et al	Epithelial	Ciliated	Kcnmb2
Montoro et al	Epithelial	Ciliated	Swi5
Montoro et al	Epithelial	Ciliated	Plin5
Montoro et al	Epithelial	Ciliated	Zc2hc1a
Montoro et al	Epithelial	Ciliated	Jam3
Montoro et al	Epithelial	Ciliated	Lrrc6
Montoro et al	Epithelial	Ciliated	Sptlc3
Montoro et al	Epithelial	Ciliated	Hydin
Montoro et al	Epithelial	Ciliated	Fam216a
Montoro et al	Epithelial	Ciliated	4932443I19Rik
Montoro et al	Epithelial	Ciliated	Ankrd42
Montoro et al	Epithelial	Ciliated	Wdr60
Montoro et al	Epithelial	Ciliated	Lrrc45
Montoro et al	Epithelial	Ciliated	Spef2
Montoro et al	Epithelial	Ciliated	Ezr
Montoro et al	Epithelial	Ciliated	Wnt11
Montoro et al	Epithelial	Ciliated	Fam213a
Montoro et al	Epithelial	Ciliated	Gtsf1l
Montoro et al	Epithelial	Ciliated	Lbp
Montoro et al	Epithelial	Ciliated	Wdr95
Montoro et al	Epithelial	Ciliated	Syne1
Montoro et al	Epithelial	Ciliated	Abhd3
Montoro et al	Epithelial	Ciliated	Tctex1d2
Montoro et al	Epithelial	Ciliated	Ttc39a
Montoro et al	Epithelial	Ciliated	Lrrc46
Montoro et al	Epithelial	Ciliated	Stk33
Montoro et al	Epithelial	Ciliated	Slc2a12
Montoro et al	Epithelial	Ciliated	Mipep
Montoro et al	Epithelial	Ciliated	Mst1
Montoro et al	Epithelial	Ciliated	Myl4
Montoro et al	Epithelial	Ciliated	Oaz2
Montoro et al	Epithelial	Ciliated	Ttc12
Montoro et al	Epithelial	Ciliated	Ccdc176
Montoro et al	Epithelial	Ciliated	Ift57
Montoro et al	Epithelial	Ciliated	Wdr54
Montoro et al	Epithelial	Ciliated	4930444P10Rik
Montoro et al	Epithelial	Ciliated	Tuba1a
Montoro et al	Epithelial	Ciliated	1700013F07Rik
Montoro et al	Epithelial	Ciliated	Mxra8
Montoro et al	Epithelial	Ciliated	D430036J16Rik
Montoro et al	Epithelial	Ciliated	Spag17
Montoro et al	Epithelial	Ciliated	Ddo
Montoro et al	Epithelial	Ciliated	Sri
Montoro et al	Epithelial	Ciliated	Ctsk
Montoro et al	Epithelial	Ciliated	Calm1
Montoro et al	Epithelial	Ciliated	4430402I18Rik
Montoro et al	Epithelial	Ciliated	2310007B03Rik
Montoro et al	Epithelial	Ciliated	Psmc3ip
Montoro et al	Epithelial	Ciliated	Nudt4
Montoro et al	Epithelial	Ciliated	Ttll9
Montoro et al	Epithelial	Ciliated	Dusp18
Montoro et al	Epithelial	Ciliated	Rfc2
Montoro et al	Epithelial	Ciliated	1700029J07Rik
Montoro et al	Epithelial	Ciliated	Naga
Montoro et al	Epithelial	Ciliated	Akap14
Montoro et al	Epithelial	Ciliated	Atp2a2
Montoro et al	Epithelial	Ciliated	Pttg1
Montoro et al	Epithelial	Ciliated	Casc1
Montoro et al	Epithelial	Ciliated	Ccdc60
Montoro et al	Epithelial	Ciliated	Dydc2
Montoro et al	Epithelial	Ciliated	Lrrc10b
Montoro et al	Epithelial	Ciliated	Mycbpap
Montoro et al	Epithelial	Ciliated	1700001L19Rik
Montoro et al	Epithelial	Ciliated	Dlec1
Montoro et al	Epithelial	Ciliated	Kif6
Montoro et al	Epithelial	Ciliated	Ropn1l
Montoro et al	Epithelial	Ciliated	Eml2
Montoro et al	Epithelial	Ciliated	Ech1
Montoro et al	Epithelial	Ciliated	Slc1a4
Montoro et al	Epithelial	Ciliated	Sftpc
Montoro et al	Epithelial	Ciliated	1700101E01Rik
Montoro et al	Epithelial	Ciliated	Efcab1
Montoro et al	Epithelial	Ciliated	Sirt3
Montoro et al	Epithelial	Ciliated	Pacrg
Montoro et al	Epithelial	Ciliated	Cdc14a
Montoro et al	Epithelial	Ciliated	Itln1
Montoro et al	Epithelial	Tuft	Lrmp
Montoro et al	Epithelial	Tuft	Gnat3
Montoro et al	Epithelial	Tuft	Gnb3
Montoro et al	Epithelial	Tuft	Plac8
Montoro et al	Epithelial	Tuft	Trpm5
Montoro et al	Epithelial	Tuft	Gng13
Montoro et al	Epithelial	Tuft	Ltc4s
Montoro et al	Epithelial	Tuft	Rgs13
Montoro et al	Epithelial	Tuft	Hck
Montoro et al	Epithelial	Tuft	Alox5ap
Montoro et al	Epithelial	Tuft	Avil
Montoro et al	Epithelial	Tuft	Alox5
Montoro et al	Epithelial	Tuft	Ptpn6
Montoro et al	Epithelial	Tuft	Atp2a3
Montoro et al	Epithelial	Tuft	Plk2
Montoro et al	Epithelial	Tuft	Zfp428
Montoro et al	Epithelial	Tuft	Ethe1
Montoro et al	Epithelial	Tuft	Mctp1
Montoro et al	Epithelial	Tuft	Fxyd6
Montoro et al	Epithelial	Tuft	1810046K07Rik
Montoro et al	Epithelial	Tuft	Pik3r5
Montoro et al	Epithelial	Tuft	Cd300lf
Montoro et al	Epithelial	Tuft	Rassf6
Montoro et al	Epithelial	Tuft	Dclk1
Montoro et al	Epithelial	Tuft	Spib
Montoro et al	Epithelial	Tuft	Pik3cg
Montoro et al	Epithelial	Tuft	Pde2a
Montoro et al	Epithelial	Tuft	Matk
Montoro et al	Epithelial	Tuft	Vav1
Montoro et al	Epithelial	Tuft	Sh2d7
Montoro et al	Epithelial	Tuft	Bmx
Montoro et al	Epithelial	Tuft	Fyb
Montoro et al	Epithelial	Tuft	Ccdc28b
Montoro et al	Epithelial	Tuft	Ptpn18
Montoro et al	Epithelial	Tuft	Bpgm
Montoro et al	Epithelial	Tuft	Itgb7
Montoro et al	Epithelial	Tuft	Ccdc109b
Montoro et al	Epithelial	Tuft	Anxa4
Montoro et al	Epithelial	Tuft	Rgs2
Montoro et al	Epithelial	Tuft	Tspan6
Montoro et al	Epithelial	Tuft	Prss53
Montoro et al	Epithelial	Tuft	Ly6g6f
Montoro et al	Epithelial	Tuft	Inpp5d
Montoro et al	Epithelial	Tuft	Ivns1abp
Montoro et al	Epithelial	Tuft	Nkd1
Montoro et al	Epithelial	Tuft	Sh3bgrl
Montoro et al	Epithelial	Tuft	Pou2f3
Montoro et al	Epithelial	Tuft	Sox9
Montoro et al	Epithelial	Tuft	Chn2
Montoro et al	Epithelial	Tuft	Krt18
Montoro et al	Epithelial	Tuft	Calm2
Montoro et al	Epithelial	Tuft	Kctd12
Montoro et al	Epithelial	Tuft	Etv1
Montoro et al	Epithelial	Tuft	Coprs
Montoro et al	Epithelial	Tuft	Cd47
Montoro et al	Epithelial	Tuft	Espn
Montoro et al	Epithelial	Tuft	Tmem245
Montoro et al	Epithelial	Tuft	Pitpnc1
Montoro et al	Epithelial	Tuft	Hap1
Montoro et al	Epithelial	Tuft	Reep5
Montoro et al	Epithelial	Tuft	H2afj
Montoro et al	Epithelial	Tuft	Selm
Montoro et al	Epithelial	Neuroendocrine	Chga
Montoro et al	Epithelial	Neuroendocrine	Calca
Montoro et al	Epithelial	Neuroendocrine	Cxcl13
Montoro et al	Epithelial	Neuroendocrine	Scg2
Montoro et al	Epithelial	Neuroendocrine	Nov
Montoro et al	Epithelial	Neuroendocrine	Scg5
Montoro et al	Epithelial	Neuroendocrine	Pcsk1
Montoro et al	Epithelial	Neuroendocrine	Dnajc12
Montoro et al	Epithelial	Neuroendocrine	Uchl1
Montoro et al	Epithelial	Neuroendocrine	Ddc
Montoro et al	Epithelial	Neuroendocrine	Snca
Montoro et al	Epithelial	Neuroendocrine	Snap25
Montoro et al	Epithelial	Neuroendocrine	Cib3
Montoro et al	Epithelial	Neuroendocrine	Bex2
Montoro et al	Epithelial	Neuroendocrine	Guk1
Montoro et al	Epithelial	Neuroendocrine	Chgb
Montoro et al	Epithelial	Neuroendocrine	Ascl1
Montoro et al	Epithelial	Neuroendocrine	Ngf
Montoro et al	Epithelial	Neuroendocrine	Cplx2
Montoro et al	Epithelial	Neuroendocrine	Igfbp5
Montoro et al	Epithelial	Neuroendocrine	Pkib
Montoro et al	Epithelial	Neuroendocrine	Lrp11
Montoro et al	Epithelial	Neuroendocrine	Tcerg1l
Montoro et al	Epithelial	Neuroendocrine	Rbp4
Montoro et al	Epithelial	Neuroendocrine	Mthfd2
Montoro et al	Epithelial	Neuroendocrine	Cd9
Montoro et al	Epithelial	Neuroendocrine	Meis2
Montoro et al	Epithelial	Neuroendocrine	Ly6h
Montoro et al	Epithelial	Neuroendocrine	Tmem158
Montoro et al	Epithelial	Neuroendocrine	Cacna2d1
Montoro et al	Epithelial	Neuroendocrine	Syt7
Montoro et al	Epithelial	Neuroendocrine	Ptp4a3
Montoro et al	Epithelial	Ionocyte	Stap1
Montoro et al	Epithelial	Ionocyte	Gm933
Montoro et al	Epithelial	Ionocyte	Ascl3
Montoro et al	Epithelial	Ionocyte	Foxi1
Montoro et al	Epithelial	Ionocyte	Atp6v0d2
Montoro et al	Epithelial	Ionocyte	Moxd1
Montoro et al	Epithelial	Ionocyte	Gnas
Montoro et al	Epithelial	Ionocyte	Ldhb
Montoro et al	Epithelial	Ionocyte	Rasd1
Montoro et al	Epithelial	Ionocyte	P2ry14
Montoro et al	Epithelial	Ionocyte	Tfcp2l1
Montoro et al	Epithelial	Ionocyte	Cd81
Montoro et al	Epithelial	Ionocyte	Cftr
Montoro et al	Epithelial	Ionocyte	Slc12a2
Montoro et al	Epithelial	Ionocyte	Asgr1
Montoro et al	Epithelial	Ionocyte	Parm1
Montoro et al	Epithelial	Ionocyte	Atp6v1e1
Montoro et al	Epithelial	Ionocyte	Iqgap1
Montoro et al	Epithelial	Ionocyte	Rbpms
Montoro et al	Epithelial	Krt4/Krt13	Ltf
Montoro et al	Epithelial	Krt4/Krt13	Krt4
Montoro et al	Epithelial	Krt4/Krt13	Upk3bl
Montoro et al	Epithelial	Krt4/Krt13	Nupr1
Montoro et al	Epithelial	Krt4/Krt13	S100g
Montoro et al	Epithelial	Krt4/Krt13	Lyz2
Montoro et al	Epithelial	Krt4/Krt13	Calml3
Montoro et al	Epithelial	Krt4/Krt13	Pglyrp1
Montoro et al	Epithelial	Krt4/Krt13	Crip1
Montoro et al	Epithelial	Krt4/Krt13	Ecm1
Montoro et al	Epithelial	Krt4/Krt13	S100a6
Montoro et al	Epithelial	Krt4/Krt13	Plac8
Montoro et al	Epithelial	Krt4/Krt13	Tppp3
Montoro et al	Epithelial	Krt4/Krt13	Cyp2a5
Montoro et al	Epithelial	Krt4/Krt13	Lgals3
Montoro et al	Epithelial	Krt4/Krt13	Cxcl17
Montoro et al	Epithelial	Krt4/Krt13	Ly6a
Montoro et al	Epithelial	Krt4/Krt13	Anxa1
Montoro et al	Epithelial	Krt4/Krt13	Ly6g6c
Montoro et al	Epithelial	Krt4/Krt13	Pdzk1ip1
Montoro et al	Epithelial	Krt4/Krt13	Cldn3
Montoro et al	Epithelial	Krt4/Krt13	2200002D01Rik
Montoro et al	Epithelial	Krt4/Krt13	Gsto1
Montoro et al	Epithelial	Krt4/Krt13	Sftpd
Montoro et al	Epithelial	Krt4/Krt13	Aldh1a1
Montoro et al	Epithelial	Krt4/Krt13	Pmm1
Montoro et al	Epithelial	Krt4/Krt13	Ndufa4
Montoro et al	Epithelial	Krt4/Krt13	Aqp5
Montoro et al	Epithelial	Krt4/Krt13	Slc16a11
Montoro et al	Epithelial	Krt4/Krt13	Scgb1a1
Montoro et al	Epithelial	Krt4/Krt13	Chchd10
Montoro et al	Epithelial	Krt4/Krt13	Mal
Montoro et al	Epithelial	Krt4/Krt13	Upk1b
Montoro et al	Epithelial	Krt4/Krt13	Serpinb2
Montoro et al	Epithelial	Krt4/Krt13	Selenbp1
Montoro et al	Epithelial	Krt4/Krt13	Wfdc2
Montoro et al	Epithelial	Krt4/Krt13	Krt13
Montoro et al	Epithelial	Krt4/Krt13	Krt7
Montoro et al	Epithelial	Krt4/Krt13	Lrrc26
Montoro et al	Epithelial	Krt4/Krt13	Gabrp
Montoro et al	Epithelial	Krt4/Krt13	Cyp2b10
Montoro et al	Epithelial	Krt4/Krt13	Muc1
Montoro et al	Epithelial	Krt4/Krt13	Ly6e
Montoro et al	Epithelial	Krt4/Krt13	Pdlim1
Montoro et al	Epithelial	Krt4/Krt13	Krt15
Montoro et al	Epithelial	Krt4/Krt13	Ttc36
Montoro et al	Epithelial	Krt4/Krt13	Igfbp5
Montoro et al	Epithelial	Krt4/Krt13	S100a11
Montoro et al	Epithelial	Krt4/Krt13	Anxa3
Plasschaert et al	Epithelial	Basal	Amotl1
Plasschaert et al	Epithelial	Basal	Dlk2
Plasschaert et al	Epithelial	Basal	Gdpd2
Plasschaert et al	Epithelial	Basal	Procr
Plasschaert et al	Epithelial	Basal	Olfml2a
Plasschaert et al	Epithelial	Basal	Hlf
Plasschaert et al	Epithelial	Basal	Sesn1
Plasschaert et al	Epithelial	Basal	Defb1
Plasschaert et al	Epithelial	Basal	Nxn
Plasschaert et al	Epithelial	Basal	Fat2
Plasschaert et al	Epithelial	Basal	Pik3r1
Plasschaert et al	Epithelial	Basal	Ccdc3
Plasschaert et al	Epithelial	Basal	Gm12857
Plasschaert et al	Epithelial	Basal	Gm5805
Plasschaert et al	Epithelial	Basal	Gfra1
Plasschaert et al	Epithelial	Basal	Gm17541
Plasschaert et al	Epithelial	Basal	Abi3bp
Plasschaert et al	Epithelial	Basal	Ndrg1
Plasschaert et al	Epithelial	Basal	Fzd8
Plasschaert et al	Epithelial	Basal	Icam1
Plasschaert et al	Epithelial	Basal	Glul
Plasschaert et al	Epithelial	Basal	Rpl13-ps3
Plasschaert et al	Epithelial	Basal	Sorcs2
Plasschaert et al	Epithelial	Basal	Ldlrap1
Plasschaert et al	Epithelial	Basal	Gm14633
Plasschaert et al	Epithelial	Basal	Gm13827
Plasschaert et al	Epithelial	Basal	Rps14
Plasschaert et al	Epithelial	Basal	Rbms3
Plasschaert et al	Epithelial	Basal	Aqp4
Plasschaert et al	Epithelial	Basal	Ntf3
Plasschaert et al	Epithelial	Basal	Rpl37
Plasschaert et al	Epithelial	Basal	Rpl18a-ps1
Plasschaert et al	Epithelial	Basal	F2r
Plasschaert et al	Epithelial	Basal	Hpgd
Plasschaert et al	Epithelial	Basal	Tgm2
Plasschaert et al	Epithelial	Basal	Gm15427
